"curp_funcionario","r_70-2010_LUJO_TOTAL","r_70-2010_NO LUJO_TOTAL","r_2010-2015_LUJO_TOTAL","r_2010-2015_NO LUJO_TOTAL","r_2015-2020_LUJO_TOTAL","r_2015-2020_NO LUJO_TOTAL","r_70-2010_LUJO_VALOR","r_70-2010_NO LUJO_VALOR","r_2010-2015_LUJO_VALOR","r_2010-2015_NO LUJO_VALOR","r_2015-2020_LUJO_VALOR","r_2015-2020_NO LUJO_VALOR"
"SAVC860718HAGLLR02",NA,1,NA,1,NA,NA,NA,483091,NA,413949,NA,NA
"SAVE750423HVZLRC08",NA,NA,3,3,NA,1,NA,NA,1127471,1327761,NA,480024
"SAVF790807HPULRR05",NA,2,NA,1,NA,NA,NA,1010995,NA,596709,NA,NA
"SAVG750219HSNLRD09",NA,6,NA,NA,NA,NA,NA,1590030,NA,NA,NA,NA
"SAVH720906MSNCLG05",NA,1,1,2,1,1,NA,447053,4200000,801651,388696,607332
"SAVM730603HVZVLR07",NA,1,5,2,NA,NA,NA,686589,4198520,1166636,NA,NA
"SAVR780115MSNLNM02",1,NA,2,3,NA,1,1100000,NA,1237902,1912522,NA,646224
"SAVR841126HPULLN03",1,4,NA,NA,NA,NA,300274,949255,NA,NA,NA,NA
"SAXE790612MDFCCundefined02",1,NA,1,4,NA,1,1100000,NA,590662,2177670,NA,499287
"SAXJ800226MDFNNM08",NA,1,3,2,1,NA,NA,577920,2936255,1190946,510935,NA
"SAXM830703MSNNNR03",1,2,NA,NA,NA,NA,456096,854765,NA,NA,NA,NA
"SAXR780121MAGNNB06",1,5,NA,NA,NA,NA,160384,610659,NA,NA,NA,NA
"SAYJ781125MPULGL07",2,NA,1,2,1,NA,916003,NA,4200000,1226755,652418,NA
"SAZE731023MDFNRZ04",1,2,NA,1,NA,NA,430695,991289,NA,364089,NA,NA
"SAZM840814MSNLMY04",1,1,1,2,2,1,443411,799755,2e+06,1176744,1076582,576012
"SAZR870019MAGMBB03",1,3,NA,NA,NA,NA,312953,301701,NA,NA,NA,NA
"SEAA830118HVZPMD07",NA,3,NA,1,NA,1,NA,1298503,NA,544278,NA,507450
"SEAC780905MPUVCN09",NA,NA,3,2,NA,1,NA,NA,2705789,1129613,NA,562416
"SEAH720913MDFRGM06",1,5,NA,NA,NA,NA,202681,981815,NA,NA,NA,NA
"SEAI770525MSNPRN05",NA,1,2,1,NA,NA,NA,468947,2552019,392782,NA,NA
"SEAJ760312MDFRCR06",NA,1,3,1,NA,1,NA,594970,4273504,615536,NA,658206
"SEAM810125HPUGNR03",NA,2,NA,1,NA,NA,NA,891280,NA,535850,NA,NA
"SEAR860002HSNRMG05",1,NA,2,4,1,NA,431402,NA,2707463,2271918,588878,NA
"SEAS720510MAGGCL08",NA,3,NA,3,NA,NA,NA,1150371,NA,1310772,NA,NA
"SEBA840225MAGDTT01",1,NA,2,1,1,1,460099,NA,2448119,694409,533707,734039
"SEBD830623MDFVRL09",1,NA,2,1,NA,1,1100000,NA,1312833,650947,NA,523951
"SEBL730414MPUDNL05",NA,2,NA,2,NA,NA,NA,825034,NA,849207,NA,NA
"SEBL740503HDFGRS02",1,3,NA,NA,NA,NA,77605,363286,NA,NA,NA,NA
"SEBM860217HAGRRN02",NA,4,NA,1,NA,1,NA,1753388,NA,513851,NA,537333
"SECA790614MDFVRT07",1,3,NA,1,NA,1,410076,1089916,NA,455611,NA,474029
"SECJ850327HDFRNM01",1,NA,1,2,NA,NA,436963,NA,2e+06,959122,NA,NA
"SECM700911MSNGRR02",NA,3,NA,NA,NA,NA,NA,1343700,NA,NA,NA,NA
"SECM740114HDFRJG06",NA,3,NA,1,NA,NA,NA,1508106,NA,582206,NA,NA
"SECM771125MPURMR06",1,NA,2,4,1,NA,666813,NA,567602,2205293,616473,NA
"SECR780920HVZGSB08",NA,2,2,NA,NA,1,NA,1068240,2417855,NA,NA,608374
"SECS800515MDFDPN03",NA,1,NA,2,NA,NA,NA,366997,NA,1062415,NA,NA
"SEDA730213MPURLT06",NA,6,NA,NA,NA,NA,NA,2541313,NA,NA,NA,NA
"SEDJ810003HDFRMZ07",NA,1,2,2,1,NA,NA,701479,4997761,1030467,616646,NA
"SEEG890316HVZDQD07",1,1,1,5,NA,1,1100000,640547,675560,2747544,NA,627508
"SEEL870713MVZDCS06",NA,2,NA,2,NA,NA,NA,992101,NA,1108143,NA,NA
"SEFA800306HVZRRD01",NA,1,1,2,NA,NA,NA,380086,395674,987642,NA,NA
"SEFM790505HDFRRR09",NA,2,NA,1,NA,1,NA,877137,NA,503127,NA,591635
"SEFR810214HDFPJM01",NA,3,NA,1,NA,NA,NA,1296468,NA,300006,NA,NA
"SEGR780016HSNRSF02",1,4,NA,NA,NA,NA,34552,812711,NA,NA,NA,NA
"SEJM710210HVZDMR03",1,4,NA,NA,NA,NA,150460,798532,NA,NA,NA,NA
"SEJM730605HSNRML09",NA,4,NA,NA,NA,NA,NA,601593,NA,NA,NA,NA
"SEKJ840525HAGDNL04",NA,5,NA,NA,NA,NA,NA,1077971,NA,NA,NA,NA
"SELA810908HDFGYD06",NA,NA,6,2,NA,NA,NA,NA,5247894,1395929,NA,NA
"SEMB820924HPURJR09",NA,NA,NA,1,NA,NA,NA,NA,NA,501617,NA,NA
"SEMC780712HAGGZR01",NA,3,NA,NA,NA,NA,NA,671959,NA,NA,NA,NA
"SEMI700110HVZRNS08",NA,NA,NA,2,NA,NA,NA,NA,NA,857934,NA,NA
"SEMJ700108MSNPRS07",1,2,NA,NA,NA,NA,329104,280842,NA,NA,NA,NA
"SENS741023HVZRÑB05",NA,2,NA,1,1,NA,NA,1005633,NA,570365,420263,NA
"SEOA740018MPUPVN05",NA,3,NA,NA,NA,NA,NA,371074,NA,NA,NA,NA
"SEPG880625MPURDB06",NA,3,NA,NA,NA,NA,NA,646787,NA,NA,NA,NA
"SEQM700707MVZRÑR07",1,2,1,NA,NA,NA,569035,896123,365673,NA,NA,NA
"SERC831127HDFPNR01",NA,4,NA,NA,NA,NA,NA,1169863,NA,NA,NA,NA
"SESM850104HDFGVR08",2,3,NA,2,NA,NA,964481,1489375,NA,652241,NA,NA
"SESM880920MAGGTR08",1,1,NA,NA,NA,NA,240102,303955,NA,NA,NA,NA
"SETA881123MVZGMJ04",1,2,NA,NA,NA,NA,320933,726506,NA,NA,NA,NA
"SETE770525HAGRLT04",NA,3,NA,NA,NA,NA,NA,725203,NA,NA,NA,NA
"SIÁA801124HSNRLJ01",NA,1,NA,2,1,NA,NA,339842,NA,1035420,422565,NA
"SIAM721016MPURSN05",1,3,NA,NA,NA,NA,128267,482802,NA,NA,NA,NA
"SIAM770504HDFRBN05",2,1,2,2,NA,NA,1567217,678068,1216882,844331,NA,NA
"SIAV840817MDFRCL07",NA,1,2,3,NA,NA,NA,507859,698581,1701829,NA,NA
"SIBG880419MVZSRB03",NA,2,1,2,NA,NA,NA,871095,526661,795115,NA,NA
"SIMB790119MSNRNT09",2,1,1,1,NA,1,1284658,461912,4200000,785186,NA,493856
"SIMC800018MAGRJC05",1,2,NA,NA,NA,NA,309839,296541,NA,NA,NA,NA
"SISP700917HDFSNT01",NA,2,NA,NA,NA,NA,NA,604427,NA,NA,NA,NA
"SIVE741003HVZRLS08",NA,1,1,3,NA,NA,NA,640584,1700000,1777918,NA,NA
"SOAA750705HAGLGJ05",NA,1,2,2,NA,1,NA,462751,2461803,1168606,NA,646017
"SOAC720619MPULRR02",NA,2,NA,NA,NA,NA,NA,640091,NA,NA,NA,NA
"SOAC771021MAGLNL03",NA,NA,5,2,NA,1,NA,NA,5512786,1250754,NA,406812
"SOAG810410MDFTDL06",1,3,NA,1,NA,NA,381989,1226053,NA,303010,NA,NA
"SOÁJ800024MPUTLQ09",1,4,NA,NA,NA,NA,320986,874477,NA,NA,NA,NA
"SOAJ820620MDFTCM03",NA,NA,4,2,NA,NA,NA,NA,3142150,1289807,NA,NA
"SOAM760511HAGRMR07",2,NA,2,1,NA,NA,1005614,NA,745799,429596,NA,NA
"SOAT750104MSNLRM01",NA,NA,3,2,1,1,NA,NA,4446248,1391956,524190,447151
"SOBC760321MSNLRN02",1,2,NA,NA,NA,NA,198245,285692,NA,NA,NA,NA
"SOBD880804HAGLRM03",NA,4,NA,NA,NA,NA,NA,922964,NA,NA,NA,NA
"SOBE760323MDFRLM04",1,NA,1,6,NA,NA,1100000,NA,469177,3408829,NA,NA
"SOBF751110HSNTDD09",NA,NA,2,4,NA,NA,NA,NA,2625029,2587752,NA,NA
"SOBJ861112HPUSRS05",1,NA,2,3,NA,NA,675988,NA,2514671,1953294,NA,NA
"SOBP830206MDFTRB07",NA,1,3,2,1,NA,NA,398286,2579398,1322539,644089,NA
"SOCA790627MSNLRundefined02",1,NA,1,4,NA,NA,1100000,NA,576127,2652877,NA,NA
"SOCA830302MSNLZT02",NA,4,NA,NA,NA,NA,NA,735261,NA,NA,NA,NA
"SOCE700527MPULRS07",NA,4,NA,NA,NA,NA,NA,985502,NA,NA,NA,NA
"SOCE840724HVZSNS08",NA,3,NA,1,NA,NA,NA,1243399,NA,572993,NA,NA
"SOCI821018MVZLLB03",1,4,NA,NA,NA,NA,100418,971536,NA,NA,NA,NA
"SOCN720108HVZTRT09",NA,NA,4,4,NA,NA,NA,NA,3751827,1996181,NA,NA
"SOCP730708MDFRRB05",1,3,NA,2,NA,NA,525730,967174,NA,843283,NA,NA
"SOCP841122HDFLLB01",1,NA,2,3,NA,NA,627824,NA,2387292,1917738,NA,NA
"SOCR720224HVZLHB05",1,2,3,NA,1,NA,635207,1116314,5364097,NA,745431,NA
"SOCS830006HPUSBL05",NA,2,NA,2,NA,1,NA,1020673,NA,968129,NA,375313
"SODF830218MAGLLD08",1,NA,1,4,NA,NA,1100000,NA,753063,2253550,NA,NA
"SODJ750326MVZRLL08",NA,3,NA,NA,NA,NA,NA,511232,NA,NA,NA,NA
"SOFD740411HDFLLL01",NA,3,NA,1,NA,NA,NA,1297090,NA,361760,NA,NA
"SOGA720017HPURRJ09",NA,2,NA,1,NA,NA,NA,825787,NA,355256,NA,NA
"SOGA810714MDFRLF07",NA,1,2,2,NA,2,NA,580297,4979955,1540410,NA,1120917
"SOGD760827MAGTYB09",NA,1,3,3,NA,1,NA,404521,1304548,1908848,NA,454952
"SOGJ760827HAGTDR03",NA,1,2,2,NA,NA,NA,412948,4985147,1219006,NA,NA
"SOGÓ711116HSNLLC01",NA,1,1,5,NA,1,NA,489473,3100000,2627582,NA,712630
"SOGR850513HSNLSF02",2,NA,2,2,NA,2,1016577,NA,2481558,1159825,NA,1275567
"SOHE700301HPULXL07",NA,2,NA,3,NA,NA,NA,1060617,NA,1384035,NA,NA
"SOHJ791025MVZLRR04",2,1,3,1,NA,NA,1575530,623070,1564635,680119,NA,NA
"SOHM870011MAGTRT03",1,NA,4,2,NA,1,706342,NA,3603022,1078121,NA,565110
"SOHS760209HAGLXN01",1,NA,2,2,NA,1,682743,NA,473506,1312236,NA,533400
"SOII790912HVZLZB07",NA,3,NA,1,NA,NA,NA,1276426,NA,478704,NA,NA
"SOKA801012MVZLRB09",NA,NA,4,2,NA,1,NA,NA,4834019,1264494,NA,449142
"SOKJ850021HPULPS04",NA,4,NA,NA,NA,NA,NA,817130,NA,NA,NA,NA
"SOKS860509HAGLRR06",1,1,2,3,NA,1,627403,530963,2513954,2174156,NA,603030
"SOLA801002MDFTMN02",1,5,NA,1,NA,NA,585219,2098523,NA,311254,NA,NA
"SOMG761026HVZLLR04",2,2,NA,NA,NA,NA,460974,92299,NA,NA,NA,NA
"SOML850626HDFLRS08",2,NA,1,2,NA,1,1632607,NA,798667,1134122,NA,473370
"SOMN780524MSNRZC08",NA,3,NA,NA,NA,NA,NA,512632,NA,NA,NA,NA
"SOOJ771019HSNSVS07",NA,NA,NA,1,NA,NA,NA,NA,NA,462918,NA,NA
"SOOM700127MDFLTR08",NA,2,3,1,NA,1,NA,1127056,2788807,646508,NA,726428
"SOPD800315MAGLRN01",NA,5,NA,NA,NA,NA,NA,2148170,NA,NA,NA,NA
"SOPÓ850827HPULÑC05",NA,NA,1,3,1,NA,NA,NA,0,1528070,567371,NA
"SORM890821MPUTMR03",1,3,NA,NA,NA,NA,61036,340312,NA,NA,NA,NA
"SORN820325MAGLBT01",NA,NA,3,4,NA,NA,NA,NA,2902940,1926815,NA,NA
"SOST820005MPUTRR07",NA,NA,NA,2,NA,NA,NA,NA,NA,978474,NA,NA
"SOTE760811HPUTJT08",NA,4,NA,NA,NA,NA,NA,1967996,NA,NA,NA,NA
"SOUA820413MVZTSR02",NA,4,NA,NA,1,NA,NA,1929819,NA,NA,502994,NA
"SOUP700422HVZLLT03",NA,1,1,2,NA,NA,NA,692656,4200000,1465448,NA,NA
"SOUP830515MAGLRT09",NA,4,NA,1,NA,1,NA,1498680,NA,462044,NA,543340
"SOVI890702HDFLLR05",NA,1,NA,1,NA,NA,NA,437955,NA,538098,NA,NA
"SOVL710506MDFLRS06",NA,NA,3,4,NA,NA,NA,NA,928248,2275809,NA,NA
"SOXA701022HPURR 03",NA,NA,3,4,NA,1,NA,NA,3282351,2398012,NA,500513
"SOZC720427MPULPL08",1,4,NA,3,NA,NA,594223,1867173,NA,1427936,NA,NA
"SUAD880106MSNRNL05",NA,4,NA,1,NA,1,NA,1766054,NA,442845,NA,444829
"SUBI870024MDFRRN08",NA,3,NA,NA,NA,NA,NA,1465443,NA,NA,NA,NA
"SULL720204MVZRMS02",NA,NA,4,2,NA,NA,NA,NA,4923226,985556,NA,NA
"SUMA860603MPURT 01",NA,5,1,1,NA,NA,NA,2014420,519809,306963,NA,NA
"SUME841007MAGRNL07",1,NA,2,1,NA,3,677571,NA,2594881,382673,NA,1776889
"SURM890308MSNRDR06",1,4,NA,1,NA,NA,561573,1733491,NA,470029,NA,NA
"SUVS720915HAGRLL02",1,3,NA,NA,NA,NA,183435,568971,NA,NA,NA,NA
"TAAC710812HPUFCL02",NA,4,NA,NA,NA,NA,NA,1062242,NA,NA,NA,NA
"TABA790805MDFMRundefined05",1,NA,2,2,NA,1,687159,NA,4904058,1086467,NA,532715
"TABE720113MVZPRL07",NA,NA,2,3,NA,NA,NA,NA,2394141,1331075,NA,NA
"TABE880212HAGMLT05",1,NA,2,1,1,NA,780581,NA,3762469,484375,796527,NA
"TABM711102MPUMCR03",NA,4,NA,1,1,NA,NA,1895713,NA,393598,314976,NA
"TABV750211HDFFRC06",1,3,NA,NA,NA,NA,469883,1327250,NA,NA,NA,NA
"TACP880411HPUMRL06",NA,1,5,NA,NA,NA,NA,499474,6594850,NA,NA,NA
"TADG700922HAGMLL09",NA,2,NA,2,NA,NA,NA,983611,NA,1068527,NA,NA
"TAEF880805HVZPRR01",NA,NA,3,3,1,1,NA,NA,1533983,1746950,517773,460255
"TAFL840304HPUMRS05",2,NA,3,1,NA,NA,1239522,NA,3345965,616688,NA,NA
"TAJF800402MDFPRT04",NA,NA,1,4,1,NA,NA,NA,3100000,1979298,478036,NA
"TAKR820920MSNMNS01",NA,NA,2,4,1,1,NA,NA,3844182,2510007,747923,384596
"TAKV710225HVZFDR01",1,NA,1,1,3,NA,1100000,NA,602538,714785,1908256,NA
"TALM890221MDFPBY02",NA,2,4,1,NA,NA,NA,1064770,3624074,711340,NA,NA
"TAMC880227HDFPDL06",1,NA,2,2,1,2,600302,NA,3766377,1325927,609189,1102730
"TAMJ720421MVZMDS02",2,2,NA,NA,1,NA,848042,691946,NA,NA,467174,NA
"TANÓ880104MSNMÑC06",1,3,NA,NA,NA,NA,397557,1534525,NA,NA,NA,NA
"TARI890922MPUMMC03",NA,3,NA,2,NA,NA,NA,1202245,NA,927123,NA,NA
"TATO840205MSNMLT04",NA,2,1,1,NA,1,NA,1104039,3100000,570379,NA,496899
"TAZA790113HSNFPS03",2,4,NA,NA,NA,NA,300169,942625,NA,NA,NA,NA
"TEAA740712HSNLST08",NA,2,NA,1,NA,1,NA,848695,NA,578001,NA,424945
"TEAC840817MDFRNN02",2,2,3,1,NA,NA,1239084,1355269,3115045,399991,NA,NA
"TEAE830011MPURRT04",1,4,NA,NA,NA,NA,384827,1859853,NA,NA,NA,NA
"TEAL840411MSNLLS04",NA,1,2,3,NA,1,NA,468660,3898818,1645516,NA,526983
"TEAM730419MPUJMR08",NA,NA,3,4,1,NA,NA,NA,3226484,2503028,640727,NA
"TEAT830013MSNRMD06",NA,4,NA,NA,NA,NA,NA,725742,NA,NA,NA,NA
"TÉBM730027MSNLNR01",1,2,1,2,NA,NA,743078,1435912,3100000,1178892,NA,NA
"TEBT830015HDFRRM06",NA,1,NA,4,NA,NA,NA,583503,NA,1549683,NA,NA
"TÉBV750509MAGLRC08",2,NA,2,3,NA,NA,1611379,NA,1226761,1706669,NA,NA
"TECA700801MVZJRX06",NA,1,1,5,NA,NA,NA,704416,3100000,2916039,NA,NA
"TÉCD730516HAGLHN09",NA,2,NA,1,NA,NA,NA,848168,NA,397753,NA,NA
"TECE890613HSNRRN07",NA,6,NA,NA,NA,NA,NA,1115764,NA,NA,NA,NA
"TECG781122HAGRHS07",2,1,NA,2,NA,NA,1682777,466008,NA,1053907,NA,NA
"TECJ710216HDFRSN03",NA,1,3,NA,NA,NA,NA,412408,4250372,NA,NA,NA
"TECM730012MVZRRR01",NA,2,1,2,NA,NA,NA,1283018,4200000,1431956,NA,NA
"TÉCM740824HSNLSR06",NA,2,1,1,NA,NA,NA,933312,368258,513980,NA,NA
"TECM750220MVZJRR06",NA,3,NA,3,NA,1,NA,1409050,NA,1447004,NA,515209
"TECS840427HPUJLS03",1,4,NA,NA,NA,NA,288255,810059,NA,NA,NA,NA
"TEDJ821114MSNRVS09",1,2,NA,1,NA,NA,469989,947540,NA,321397,NA,NA
"TEEE710306MAGRQL01",NA,7,NA,NA,NA,NA,NA,1643807,NA,NA,NA,NA
"TEEL880715MAGJQN06",1,4,NA,NA,NA,NA,109446,821028,NA,NA,NA,NA
"TEGJ840101HAGLLL07",NA,2,2,2,NA,NA,NA,1101028,3581997,1102449,NA,NA
"TEGM770617HVZRRR08",1,3,NA,1,NA,1,586680,1047600,NA,540430,NA,488933
"TEGP861107HSNRLL02",NA,NA,3,2,NA,NA,NA,NA,2800401,1036302,NA,NA
"TEHC890311HAGJDR04",NA,3,NA,NA,NA,NA,NA,305358,NA,NA,NA,NA
"TEHM890022HAGRRL03",NA,3,NA,NA,NA,NA,NA,1202148,NA,NA,NA,NA
"TÉHP820512HVZLRL02",NA,6,NA,NA,NA,NA,NA,1117378,NA,NA,NA,NA
"TEJI720305HVZJRN07",NA,4,NA,NA,NA,NA,NA,1070224,NA,NA,NA,NA
"TEKC740621MAGRRR09",NA,NA,1,3,1,2,NA,NA,1700000,1699069,597736,1146931
"TELG701103HVZJCB05",1,2,NA,2,NA,NA,407128,945373,NA,1051825,NA,NA
"TÉMB850907MAGLNN07",NA,NA,2,2,NA,NA,NA,NA,984523,945628,NA,NA
"TÉMJ810616MVZLDR06",NA,2,NA,2,NA,NA,NA,917127,NA,917702,NA,NA
"TEMM780524MPURTR03",NA,1,2,2,1,NA,NA,423583,4822674,1097474,674719,NA
"TEMS840323HDFRLN03",NA,1,1,2,NA,1,NA,534876,387446,975521,NA,541517
"TÉOD890601MVZLSV04",2,4,NA,NA,NA,NA,354814,1108915,NA,NA,NA,NA
"TEOL840427MPUJRR03",1,1,1,4,NA,NA,599219,389163,1700000,2410414,NA,NA
"TÉPI891123MVZLRN01",1,NA,NA,3,NA,1,501961,NA,NA,1470703,NA,387448
"TERG870909MDFRQN01",NA,3,NA,1,NA,NA,NA,971625,NA,375948,NA,NA
"TERJ731006MAGRYN08",NA,2,NA,2,NA,1,NA,910675,NA,751893,NA,382478
"TÉRL721014HVZLYT07",2,NA,2,3,NA,NA,1340981,NA,510580,1676720,NA,NA
"TESC760808HPULLC03",1,4,NA,NA,NA,NA,303147,1758900,NA,NA,NA,NA
"TÉSL720420HAGLNC03",NA,4,NA,NA,NA,NA,NA,1923535,NA,NA,NA,NA
"TÉSV860821MVZLLR09",NA,1,1,4,1,NA,NA,723001,0,2493482,695964,NA
"TESV890508HVZRSR01",NA,4,NA,2,NA,1,NA,1602719,NA,1001785,NA,367375
"TETM800805MVZLMR07",NA,2,NA,NA,NA,NA,NA,198447,NA,NA,NA,NA
"TÉVE840001MPULLT05",NA,5,NA,NA,NA,NA,NA,952063,NA,NA,NA,NA
"TEVR801119MDFRND03",NA,1,4,2,1,NA,NA,685474,3871371,1107012,494524,NA
"TEZD771110MDFJRN03",NA,5,NA,NA,NA,NA,NA,2279398,NA,NA,NA,NA
"TEZD850524HVZLMR04",NA,3,NA,3,NA,NA,NA,1395015,NA,1196860,NA,NA
"TICG800426MAGRLR01",2,4,NA,1,NA,NA,955952,1792950,NA,391463,NA,NA
"TIGM830507HDFRLR09",NA,2,NA,3,NA,NA,NA,794423,NA,1394866,NA,NA
"TIOE840724HDFJRundefined08",NA,4,NA,NA,NA,NA,NA,849812,NA,NA,NA,NA
"TIOM720121HSNRDR07",1,1,3,3,NA,NA,769492,423214,4384624,1875692,NA,NA
"TIQE830301HVZRVV02",NA,3,NA,1,NA,NA,NA,1398779,NA,301079,NA,NA
"TIRL820025MPUJCS04",NA,4,NA,NA,NA,NA,NA,1772573,NA,NA,NA,NA
"TIUM700405MVZJSR02",NA,2,2,3,NA,NA,NA,852518,3778795,1525196,NA,NA
"TOAA830117HVZLCN08",1,3,NA,NA,NA,NA,266545,788783,NA,NA,NA,NA
"TOAJ890720MDFRGL01",1,2,NA,NA,NA,NA,463246,853152,NA,NA,NA,NA
"TOAV890405HDFRTC04",NA,3,NA,NA,NA,NA,NA,503599,NA,NA,NA,NA
"TOBF751027MVZVRR09",1,2,NA,1,NA,1,394741,634195,NA,424852,NA,453891
"TOCE730108HSNLRR08",NA,4,NA,NA,NA,NA,NA,631651,NA,NA,NA,NA
"TOCS860724MDFVNL03",1,NA,1,3,NA,1,695023,NA,4200000,1599626,NA,694469
"TODP880716HPURZT01",1,NA,3,1,1,2,592545,NA,5501130,513358,532284,1131965
"TOEJ810312MVZLPS03",NA,2,2,2,NA,NA,NA,951124,2176983,1254530,NA,NA
"TOFS841101MSNVNF07",2,1,NA,2,NA,1,886389,593510,NA,953262,NA,522420
"TÓGN720501MSNRVT09",NA,NA,3,3,1,1,NA,NA,5313257,1692822,678920,613575
"TOGP850207HPUVRT08",NA,2,NA,NA,NA,1,NA,897546,NA,NA,NA,599255
"TOHC731011MSNRDR06",1,2,NA,NA,NA,NA,527916,696386,NA,NA,NA,NA
"TOLC820809HPURCR04",NA,5,NA,NA,NA,NA,NA,948141,NA,NA,NA,NA
"TOMA730501HDFRÑ 07",NA,4,NA,1,NA,NA,NA,2049196,NA,459766,NA,NA
"TOMG781123MDFLNB02",1,NA,3,1,2,NA,1100000,NA,1852036,474391,1502959,NA
"TOMR711102MPURRM04",2,2,1,1,NA,1,1490330,974676,562952,419140,NA,706430
"TONJ781121MVZLJS08",NA,NA,4,2,NA,NA,NA,NA,1462882,1323717,NA,NA
"TOOJ790924MAGLMM04",NA,3,NA,2,NA,NA,NA,1499760,NA,706252,NA,NA
"TOPI821125MAGRLR04",NA,4,NA,1,NA,1,NA,1442866,NA,454207,NA,475530
"TÓPS710403HAGRTL05",NA,1,2,3,1,NA,NA,480693,4971802,1690561,772428,NA
"TÓRE780317MDFRDL04",NA,NA,4,3,NA,2,NA,NA,4918033,2119862,NA,1226946
"TÓSA780604MDFRRL05",1,1,1,4,NA,NA,1100000,490848,628030,1884438,NA,NA
"TÓST800819MAGRLR03",NA,2,NA,3,NA,1,NA,811763,NA,1214116,NA,465001
"TOTI840422MVZLRN03",NA,4,NA,NA,NA,NA,NA,1918407,NA,NA,NA,NA
"TOZM880004MSNLPG04",NA,5,NA,1,NA,NA,NA,2080674,NA,588366,NA,NA
"TRAE890704MAGRSC09",1,NA,4,1,NA,1,531157,NA,3024997,654208,NA,655904
"TRGV700524HAGRRC07",NA,NA,4,2,1,NA,NA,NA,3581144,1346815,537061,NA
"TRHS721008HSNRRB05",NA,NA,4,2,1,NA,NA,NA,5676838,1478030,492567,NA
"TRMG801013HDFRDL09",NA,5,NA,2,NA,NA,NA,1915635,NA,928271,NA,NA
"TRPV750110MVZRGL08",NA,4,NA,NA,NA,NA,NA,963294,NA,NA,NA,NA
"TRRC860523HPURQR05",1,NA,2,3,NA,NA,1100000,NA,1317454,1738616,NA,NA
"TRSA710704HDFRGB03",1,2,2,NA,1,NA,718311,1460994,719149,NA,619509,NA
"TRSM891001MVZRST09",NA,1,NA,4,NA,NA,NA,358747,NA,1431647,NA,NA
"TRSS871103MVZRRL01",NA,3,NA,4,NA,NA,NA,1430770,NA,1561219,NA,NA
"TRTL710921HAGRPS04",NA,NA,2,5,NA,2,NA,NA,2571896,3321678,NA,1142521
"TRTM861018HSNRRR02",1,NA,1,2,NA,NA,1100000,NA,588061,1319616,NA,NA
"TRVM890007HDFRZN01",1,4,NA,1,NA,NA,511716,1580722,NA,352780,NA,NA
"TRXA790914HDFRCF03",1,1,3,2,NA,NA,443926,598521,2932827,1125020,NA,NA
"TRXC860416MDFRCR07",NA,3,NA,1,NA,NA,NA,1492648,NA,534835,NA,NA
"TRZE860113MPURML06",NA,1,1,2,NA,NA,NA,328576,357486,932705,NA,NA
"TRZJ840623HPURMM02",NA,1,NA,NA,NA,NA,NA,329943,NA,NA,NA,NA
"ULAC731027HPULLL04",NA,1,NA,3,NA,NA,NA,428262,NA,1077346,NA,NA
"ULAJ790213MPULNR05",3,1,NA,1,NA,NA,1198182,391622,NA,373841,NA,NA
"ULÁJ820106MSNLLS04",NA,5,NA,1,NA,NA,NA,2015688,NA,595477,NA,NA
"ULBA760621MDFLRC03",NA,3,NA,1,NA,1,NA,1472674,NA,486608,NA,372359
"ULBI820503MPULRR04",2,NA,2,2,NA,1,1841019,NA,1280509,1508600,NA,732861
"ULMA830902MSNLGundefined09",NA,NA,4,2,NA,NA,NA,NA,5149548,1113023,NA,NA
"ULNE790919HAGLRT02",1,2,NA,NA,NA,1,402536,874710,NA,NA,NA,490027
"ULPB730303MDFLDN07",1,NA,1,3,NA,NA,1100000,NA,511389,1666601,NA,NA
"ULPM740319HVZLRR01",NA,NA,3,2,NA,1,NA,NA,4337115,1085841,NA,690514
"ULSM850927MPUBLT06",NA,NA,1,1,NA,NA,NA,NA,598588,409177,NA,NA
"ULSM860323MAGBLL06",1,NA,4,3,NA,NA,796088,NA,3402548,1910161,NA,NA
"ULSM890206MAGBTR01",3,1,1,NA,NA,NA,1481664,438243,422836,NA,NA,NA
"ULVM880013MPULNR03",NA,3,NA,NA,NA,NA,NA,732420,NA,NA,NA,NA
"ULZM800012MAGLÑR02",1,1,NA,2,NA,NA,315891,425890,NA,786996,NA,NA
"URAC780611MAGÑYL04",2,NA,2,NA,NA,NA,1282435,NA,753243,NA,NA,NA
"URAG870519MSNBCL09",NA,3,NA,1,NA,NA,NA,1351280,NA,470162,NA,NA
"URAM710501HVZRYY02",NA,3,1,1,NA,NA,NA,1575132,469773,358872,NA,NA
"URAR880006MPURYS02",1,2,NA,NA,NA,NA,146428,304126,NA,NA,NA,NA
"URBD760618MPUÑZG02",1,NA,4,2,1,NA,425455,NA,2029542,1072608,567273,NA
"URBF800511MPUÑRR04",NA,NA,4,2,NA,1,NA,NA,5750652,1345981,NA,686833
"URCB750718HSNBNR05",NA,2,NA,1,NA,NA,NA,1020856,NA,417106,NA,NA
"URCM710904MSNBHT04",NA,5,NA,NA,NA,NA,NA,883428,NA,NA,NA,NA
"URDJ801102HVZÑLL09",NA,NA,4,1,NA,1,NA,NA,3529681,384122,NA,555640
"URES861007MVZSPR01",NA,NA,2,3,NA,1,NA,NA,3620211,1513151,NA,391382
